club_decade_player_id,club_decade_id,team_id,team_name,decade,player_id,player_name,citizenship,position,main_position,game_position,seasons_count,rows_count,goals,assists,clean_sheets,goals_conceded,yellow_cards,direct_red_cards,penalty_goals,minutes_played,raw_score,local_rating,global_rating,global_percentile,hidden_modifier,effective_global_rating
10690_zorya_lugansk_2000s_59447,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,59447,Andriy Tlumak (59447),Ukraine,Goalkeeper,Goalkeeper,GK,2,2,0.0,0,4,16,1,0,0,1035.0,12.0,63.2,65.5,0.5752946836661054,1.0,65.5
10690_zorya_lugansk_2000s_58418,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58418,Vadym Milko (58418),Ukraine,Midfield - Central Midfield,Midfield,CM,1,1,0.0,2,0,0,3,0,0,0.0,11.0,62.1,64.6,0.5475102237190281,1.0,64.6
10690_zorya_lugansk_2000s_94925,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,94925,Yegor Kartushov (94925),Ukraine,Midfield - Left Midfield,Midfield,LM,1,1,0.0,2,0,0,2,0,0,0.0,11.0,62.1,64.6,0.5475102237190281,1.0,64.6
10690_zorya_lugansk_2000s_74752,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,74752,Igor Sikorskyi (74752),Ukraine,Attack - Centre-Forward,Attack,FW,3,3,0.0,0,0,0,1,0,0,0.0,9.0,59.9,62.9,0.49735386095742123,1.0,62.9
10690_zorya_lugansk_2000s_49018,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,49018,Oleksiy Polyanskyi (49018),Ukraine,Defender - Centre-Back,Defender,CB,1,1,1.0,0,0,0,0,0,0,1013.0,8.0,58.8,61.9,0.46572047149386575,1.0,61.9
10690_zorya_lugansk_2000s_58137,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58137,Andriy Smalko (58137),Ukraine,Midfield - Central Midfield,Midfield,CM,1,1,1.0,0,0,0,3,0,0,405.0,8.0,58.8,61.9,0.46572047149386575,1.0,61.9
10690_zorya_lugansk_2000s_59039,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,59039,Andriy Gavryushov (59039),Ukraine,Defender - Right-Back,Defender,RB,3,3,0.0,0,0,0,6,0,0,0.0,8.0,58.8,61.9,0.46572047149386575,1.0,61.9
10690_zorya_lugansk_2000s_24006,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,24006,Volodymyr Yezerskyi (24006),Ukraine,Defender - Right-Back,Defender,RB,1,1,0.0,1,0,0,4,0,0,0.0,7.0,57.7,60.4,0.42097666586480637,1.0,60.4
10690_zorya_lugansk_2000s_58251,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58251,Yevgeniy Shmakov (58251),Ukraine,Midfield - Defensive Midfield,Midfield,CDM,1,1,1.0,0,0,0,2,0,0,1187.0,7.0,57.7,60.4,0.42097666586480637,1.0,60.4
10690_zorya_lugansk_2000s_96879,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,96879,Sergiy Zadorozhnyi (96879),Ukraine,Defender - Left-Back,Defender,LB,1,1,0.0,1,0,0,2,0,0,0.0,7.0,57.7,60.4,0.42097666586480637,1.0,60.4
