player_name,normalized_player_name,club_name,normalized_club_name,decade,position,player_id,club_id,club_decade_id,nationality,effective_rating
Ruslan Babenko,ruslan babenko,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,94928,10690,10690_zorya_lugansk_2010s,Ukraine,57.4
Dmytro Matsapura,dmytro matsapura,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,775832,10690,10690_zorya_lugansk_2010s,Ukraine,57.1
Rustam Khudzhamov,rustam khudzhamov,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,58043,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Maksym Kovalyov,maksym kovalyov,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,58402,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Maksym Zhychykov,maksym zhychykov,Zorya Lugansk,zorya lugansk,2010s,Defender - Right-Back,59136,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Bruno Renan,bruno renan,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,105486,10690,10690_zorya_lugansk_2010s,Brazil,51.2
Andrejs Ciganiks,andrejs ciganiks,Zorya Lugansk,zorya lugansk,2010s,Defender - Left-Back,202659,10690,10690_zorya_lugansk_2010s,Latvia,51.2
Vyacheslav Tankovskyi,vyacheslav tankovskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,213980,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Igor Kalinin,igor kalinin,Zorya Lugansk,zorya lugansk,2010s,Defender - Left-Back,267396,10690,10690_zorya_lugansk_2010s,Russia  Ukraine,51.2
Maksym Banasevych,maksym banasevych,Zorya Lugansk,zorya lugansk,2010s,Midfield - Left Midfield,272776,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Oleg Boroday,oleg boroday,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,330574,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Leonardo Ruiz,leonardo ruiz,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,344399,10690,10690_zorya_lugansk_2010s,Colombia  Portugal,51.2
Maksym Kazakov,maksym kazakov,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,373044,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Mykhaylo Shershen,mykhaylo shershen,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,385416,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Artem Mylchenko,artem mylchenko,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,539444,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Dmytro Piddubnyi,dmytro piddubnyi,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,748936,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Volodymyr Bilotserkovets,volodymyr bilotserkovets,Zorya Lugansk,zorya lugansk,2010s,Attack - Right Winger,755175,10690,10690_zorya_lugansk_2010s,Ukraine,51.2
Lovro Cvek,lovro cvek,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,317467,10690,10690_zorya_lugansk_2010s,Croatia,45.4
Eduardo Guerrero,eduardo guerrero,Zorya Lugansk,zorya lugansk,2020s,Attack - Centre-Forward,502842,10690,10690_zorya_lugansk_2020s,Panama,87.4
Oleksandr Gladkyi,oleksandr gladkyi,Zorya Lugansk,zorya lugansk,2020s,Attack - Centre-Forward,53270,10690,10690_zorya_lugansk_2020s,Ukraine,85.5
Nazariy Rusyn,nazariy rusyn,Zorya Lugansk,zorya lugansk,2020s,Attack - Centre-Forward,366729,10690,10690_zorya_lugansk_2020s,Ukraine,85.5
Sergiy Buletsa,sergiy buletsa,Zorya Lugansk,zorya lugansk,2020s,Midfield - Attacking Midfield,404846,10690,10690_zorya_lugansk_2020s,Ukraine,85.3
Allahyar Sayyadmanesh,allahyar sayyadmanesh,Zorya Lugansk,zorya lugansk,2020s,Attack - Left Winger,480975,10690,10690_zorya_lugansk_2020s,Iran,84.6
Vladyslav Kochergin,vladyslav kochergin,Zorya Lugansk,zorya lugansk,2020s,Midfield - Defensive Midfield,248932,10690,10690_zorya_lugansk_2020s,Ukraine,84.2
Petar Micin,petar micin,Zorya Lugansk,zorya lugansk,2020s,Midfield - Attacking Midfield,343963,10690,10690_zorya_lugansk_2020s,Serbia,83.7
Pylyp Budkivskyi,pylyp budkivskyi,Zorya Lugansk,zorya lugansk,2020s,Attack - Centre-Forward,99863,10690,10690_zorya_lugansk_2020s,Ukraine,83.5
Denys Antyukh,denys antyukh,Zorya Lugansk,zorya lugansk,2020s,Attack - Right Winger,383325,10690,10690_zorya_lugansk_2020s,Ukraine,83.5
Igor Kyryukhantsev,igor kyryukhantsev,Zorya Lugansk,zorya lugansk,2020s,Defender - Right-Back,203855,10690,10690_zorya_lugansk_2020s,Ukraine,81.6
Shahab Zahedi,shahab zahedi,Zorya Lugansk,zorya lugansk,2020s,Attack - Centre-Forward,350828,10690,10690_zorya_lugansk_2020s,Iran,80.5
Vladlen Yurchenko,vladlen yurchenko,Zorya Lugansk,zorya lugansk,2020s,Midfield - Attacking Midfield,157373,10690,10690_zorya_lugansk_2020s,Ukraine,80.1
Artem Gromov,artem gromov,Zorya Lugansk,zorya lugansk,2020s,Attack - Left Winger,122088,10690,10690_zorya_lugansk_2020s,Ukraine,79.7
Vladyslav Kabaev,vladyslav kabaev,Zorya Lugansk,zorya lugansk,2020s,Attack - Left Winger,210689,10690,10690_zorya_lugansk_2020s,Ukraine,79.7
Jordan,jordan,Zorya Lugansk,zorya lugansk,2020s,Defender - Centre-Back,546532,10690,10690_zorya_lugansk_2020s,Brazil,76.7
