player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Ihor Kohut,ihor kohut,SC Dnipro-1,2020s,legends,High,CM,CM,,,,3,9.0,81.4,Relative legends rating at the 87% percentile of the same-position group (11 players); confidence=High; reconstructed statistics were too incomplete for rating,8786524,60551_sc_dnipro_1_2020s_8786524
Oleksandr Nazarenko,oleksandr nazarenko,SC Dnipro-1,2010s,legends,High,LW/RW,LM,,,,3,9.0,73.3,Relative legends rating at the 87% percentile of the overall club-decade pool (27 players); confidence=High; reconstructed statistics were too incomplete for rating,8718789,60551_sc_dnipro_1_2010s_8718789
Oleksandr Nazarenko,oleksandr nazarenko,SC Dnipro-1,2020s,legends,High,LW/RW,LM,,,,3,9.0,72.9,Relative legends rating at the 87% percentile of the same-position group (8 players); confidence=High; reconstructed statistics were too incomplete for rating,8718789,60551_sc_dnipro_1_2020s_8718789
Tiberiu Ghioane,tiberiu ghioane,Dynamo Kyiv,2000s,core_squad,High,Midfielder,CM,,,,9,27.0,65.7,Relative core_squad rating at the 70% percentile of the same-position group (7 players); confidence=High; reconstructed statistics were too incomplete for rating,8384773,338_dynamo_kyiv_2000s_8384773
Tiberiu Ghioane,tiberiu ghioane,Dynamo Kyiv,2010s,core_squad,High,Midfielder,CM,,,,1,3.0,61.6,Relative core_squad rating at the 70% percentile of the same-position group (6 players); confidence=High; reconstructed statistics were too incomplete for rating,8384773,338_dynamo_kyiv_2010s_8384773
Artem Besyedin,artem besyedin,Dynamo Kyiv,2010s,core_squad,High,Forward,FW,,,,4,12.0,82.5,Relative core_squad rating at the 70% percentile of the same-position group (20 players); confidence=High; reconstructed statistics were too incomplete for rating,8240332,338_dynamo_kyiv_2010s_8240332
Artem Besyedin,artem besyedin,Dynamo Kyiv,2020s,core_squad,High,Forward,FW,,,,2,6.0,71.9,Relative core_squad rating at the 70% percentile of the same-position group (11 players); confidence=High; reconstructed statistics were too incomplete for rating,8240332,338_dynamo_kyiv_2020s_8240332
Yevhen Cheberyachko,yevhen cheberyachko,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Defender,CB,,,,7,21.0,64.6,Relative core_squad rating at the 67% percentile of the same-position group (13 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8417697,339_dnipro_dnipropetrovsk__2020_2010s_8417697
Ivan Strinic,ivan strinic,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Defender,CB,,,,5,15.0,64.6,Relative core_squad rating at the 67% percentile of the same-position group (13 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8637248,339_dnipro_dnipropetrovsk__2020_2010s_8637248
Serhiy Mizin,serhiy mizin,Metalist Kharkiv,2000s,core_squad,Medium,Midfielder,CM,,,,4,12.0,76.9,Relative core_squad rating at the 70% percentile of the same-position group (7 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8326545,6414_metalist_kharkiv_2000s_8326545
